"common_name","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c","sciname","trash_fish"
"atlantic mackerel","France","FRA","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"FRA","scomber scombrus","no"
"atlantic mackerel","France","FRA","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GBR","scomber scombrus","no"
"atlantic mackerel","France","FRA","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GRC","scomber scombrus","no"
"atlantic mackerel","France","FRA","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"NOR","scomber scombrus","no"
"atlantic mackerel","France","FRA","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"TUR","scomber scombrus","no"
"atlantic mackerel","France","FRA","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"VNM","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"AUS","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHL","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHN","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CRI","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"DNK","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"ECU","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"ESP","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"FRA","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GBR","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GRC","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"NOR","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"TUR","scomber scombrus","no"
"atlantic mackerel","Germany","DEU","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"VNM","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"AUS","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHL","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHN","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CRI","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"DNK","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"ECU","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"ESP","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"FRA","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GBR","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GRC","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"NOR","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"TUR","scomber scombrus","no"
"atlantic mackerel","Greenland","GRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"VNM","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"AUS","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHL","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHN","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CRI","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"DNK","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"ECU","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"ESP","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"FRA","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GBR","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"GRC","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"NOR","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"TUR","scomber scombrus","no"
"atlantic mackerel","Iceland","ISL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"VNM","scomber scombrus","no"
"atlantic mackerel","Ireland","IRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"AUS","scomber scombrus","no"
"atlantic mackerel","Ireland","IRL","yes","yes",0.77,"yes","biomar","FishStat capture","Atlantic Mackerel Spp.",11335.17,3385.83,"CHL","scomber scombrus","no"
