"country","sciname","aquaculture","trim_prop","factory_id","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Chile","strangomera bentincki","no",0.0434782608695652,25,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,27,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,28,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,29,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,31,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,32,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,33,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,34,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,36,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,37,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,38,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,39,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,42,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,42,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,43,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,44,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,46,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,47,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
